timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,explained_variance_sum
2026-06-10T04:56:33,2,pauli_x,1,cobyla,700,300,40,20,32,29.857182300000204,0.49666666666666665,0.49732905982905984,-0.005326231691078709,0.4774193548387097,0.5138888888888888,0.49498327759197325,75,81,70,74,
2026-06-10T04:57:10,2,pauli_x,2,cobyla,700,300,40,20,32,35.81019079999896,0.5066666666666667,0.5050747863247863,0.01016586409844844,0.4855072463768116,0.4652777777777778,0.475177304964539,85,71,77,67,
2026-06-10T04:57:53,2,pauli_x,3,cobyla,700,300,40,20,32,42.20481099999961,0.47333333333333333,0.4740918803418803,-0.05165069222577201,0.4551282051282051,0.4930555555555556,0.47333333333333333,71,85,73,71,
2026-06-10T04:58:28,2,pauli_y,1,cobyla,700,300,40,20,32,34.79572829999961,0.59,0.5905448717948718,0.18065547561950446,0.5686274509803921,0.6041666666666666,0.5858585858585859,90,66,57,87,
2026-06-10T04:59:05,2,pauli_y,2,cobyla,700,300,40,20,32,36.95124810000016,0.49333333333333335,0.48584401709401714,-0.028695181375202994,0.4574468085106383,0.2986111111111111,0.36134453781512604,105,51,101,43,
2026-06-10T04:59:48,2,pauli_y,3,cobyla,700,300,40,20,32,41.7066605,0.5966666666666667,0.5977564102564102,0.19483630556294917,0.5732484076433121,0.625,0.5980066445182725,89,67,54,90,
2026-06-10T05:00:15,2,z_feature_map,1,cobyla,700,300,40,20,32,27.25740549999864,0.5,0.49919871794871795,-0.0016025641025640969,0.4791666666666667,0.4791666666666667,0.4791666666666667,81,75,75,69,
2026-06-10T05:00:46,2,z_feature_map,2,cobyla,700,300,40,20,32,30.400791300000492,0.4633333333333333,0.4634081196581197,-0.07304718741668892,0.44370860927152317,0.4652777777777778,0.4542372881355932,72,84,77,67,
2026-06-10T05:01:20,2,z_feature_map,3,cobyla,700,300,40,20,32,33.28428779999922,0.5333333333333333,0.5347222222222222,0.06914893617021278,0.5125,0.5694444444444444,0.5394736842105263,78,78,62,82,
2026-06-10T05:01:50,2,zz_feature_map_linear,1,cobyla,700,300,40,20,32,29.428745799999888,0.49666666666666665,0.49599358974358976,-0.008010680907877044,0.47586206896551725,0.4791666666666667,0.47750865051903113,80,76,75,69,
2026-06-10T05:02:25,2,zz_feature_map_linear,2,cobyla,700,300,40,20,32,34.96127499999966,0.49333333333333335,0.4949252136752137,-0.010101010101010166,0.47530864197530864,0.5347222222222222,0.5032679738562091,71,85,67,77,
2026-06-10T05:03:06,2,zz_feature_map_linear,3,cobyla,700,300,40,20,32,40.07727169999998,0.5233333333333333,0.5235042735042735,0.04692082111436946,0.5033112582781457,0.5277777777777778,0.5152542372881356,81,75,68,76,
